fixture_id,date,stage,group,home_team,away_team,home_goals,away_goals,winner,status
537332,2026-06-25T01:00:00Z,GROUP_STAGE,GROUP_A,South Africa,South Korea,1.0,0.0,HOME_TEAM,FINISHED
537355,2026-06-25T20:00:00Z,GROUP_STAGE,GROUP_E,Ecuador,Germany,2.0,1.0,HOME_TEAM,FINISHED
537356,2026-06-25T20:00:00Z,GROUP_STAGE,GROUP_E,Curaçao,Ivory Coast,0.0,2.0,AWAY_TEAM,FINISHED
537361,2026-06-25T23:00:00Z,GROUP_STAGE,GROUP_F,Tunisia,Netherlands,1.0,3.0,AWAY_TEAM,FINISHED
537362,2026-06-25T23:00:00Z,GROUP_STAGE,GROUP_F,Japan,Sweden,1.0,1.0,DRAW,FINISHED
537349,2026-06-26T02:00:00Z,GROUP_STAGE,GROUP_D,Turkey,United States,3.0,2.0,HOME_TEAM,FINISHED
537350,2026-06-26T02:00:00Z,GROUP_STAGE,GROUP_D,Paraguay,Australia,0.0,0.0,DRAW,FINISHED
537395,2026-06-26T19:00:00Z,GROUP_STAGE,GROUP_I,Norway,France,1.0,4.0,AWAY_TEAM,FINISHED
537396,2026-06-26T19:00:00Z,GROUP_STAGE,GROUP_I,Senegal,Iraq,5.0,0.0,HOME_TEAM,FINISHED
537373,2026-06-27T00:00:00Z,GROUP_STAGE,GROUP_H,Uruguay,Spain,0.0,1.0,AWAY_TEAM,FINISHED
537374,2026-06-27T00:00:00Z,GROUP_STAGE,GROUP_H,Cape Verde Islands,Saudi Arabia,0.0,0.0,DRAW,FINISHED
537367,2026-06-27T03:00:00Z,GROUP_STAGE,GROUP_G,New Zealand,Belgium,1.0,5.0,AWAY_TEAM,FINISHED
537368,2026-06-27T03:00:00Z,GROUP_STAGE,GROUP_G,Egypt,Iran,1.0,1.0,DRAW,FINISHED
537413,2026-06-27T21:00:00Z,GROUP_STAGE,GROUP_L,Panama,England,0.0,2.0,AWAY_TEAM,FINISHED
537414,2026-06-27T21:00:00Z,GROUP_STAGE,GROUP_L,Croatia,Ghana,2.0,1.0,HOME_TEAM,FINISHED
537407,2026-06-27T23:30:00Z,GROUP_STAGE,GROUP_K,Colombia,Portugal,0.0,0.0,DRAW,FINISHED
537408,2026-06-27T23:30:00Z,GROUP_STAGE,GROUP_K,Congo DR,Uzbekistan,3.0,1.0,HOME_TEAM,FINISHED
537401,2026-06-28T02:00:00Z,GROUP_STAGE,GROUP_J,Jordan,Argentina,1.0,3.0,AWAY_TEAM,FINISHED
537402,2026-06-28T02:00:00Z,GROUP_STAGE,GROUP_J,Algeria,Austria,3.0,3.0,DRAW,FINISHED
537417,2026-06-28T19:00:00Z,LAST_32,,South Africa,Canada,0.0,1.0,AWAY_TEAM,FINISHED
537423,2026-06-29T17:00:00Z,LAST_32,,Brazil,Japan,2.0,1.0,HOME_TEAM,FINISHED
537415,2026-06-29T20:30:00Z,LAST_32,,Germany,Paraguay,4.0,5.0,AWAY_TEAM,FINISHED
537418,2026-06-30T01:00:00Z,LAST_32,,Netherlands,Morocco,3.0,4.0,AWAY_TEAM,FINISHED
